" ";"Age";"Region Hovedstaden";"Region Sjælland";"Region Syddanmark";"Region Midtjylland";"Region Nordjylland"
" ";"0 years";20698;6804;11134;13755;5367
" ";"1 year";20288;7478;11368;14146;5436
" ";"2 years";21429;8139;12534;15105;6087
" ";"3 years";21144;8417;12533;15075;5821
" ";"4 years";21042;8474;12592;14887;6056
" ";"5 years";20253;8608;12909;14605;6048
" ";"6 years";20385;8910;13039;15127;6068
" ";"7 years";20515;9053;12887;15137;6079
" ";"8 years";19749;8886;12880;14491;6050
" ";"9 years";19213;8502;12542;14028;5707
" ";"10 years";18957;8357;12552;13849;5709
" ";"11 years";19648;8661;12992;14394;5906
" ";"12 years";19665;8872;13166;14960;6090
" ";"13 years";20764;9530;14072;15530;6449
" ";"14 years";20988;9858;14458;15789;6588
" ";"15 years";21202;10255;15226;16349;6757
" ";"16 years";21192;10452;15096;16345;6947
" ";"17 years";21052;10613;14989;16770;6871
" ";"18 years";20639;10610;14918;16540;7034
" ";"19 years";21021;10428;15312;16882;7025
" ";"20 years";22932;9937;15336;17512;7101
" ";"21 years";25394;8730;14256;17942;7050
" ";"22 years";26413;7755;13662;19397;7438
" ";"23 years";28892;7396;13491;19882;7808
" ";"24 years";29934;7438;13608;19749;7801
" ";"25 years";30840;7335;13653;19428;7733
" ";"26 years";31774;7557;13874;19430;7604
" ";"27 years";32433;8096;14296;19222;7571
" ";"28 years";32567;8663;15069;19112;7659
" ";"29 years";33219;9333;15311;19460;7947
" ";"30 years";31848;9257;15204;18548;7396
" ";"31 years";31653;9637;15307;18717;7837
" ";"32 years";30752;9667;15287;18109;7529
" ";"33 years";30248;9827;15223;18062;7329
" ";"34 years";29569;9977;14966;17685;7140
" ";"35 years";28354;9632;14624;17083;6902
" ";"36 years";27032;9575;14075;16452;6714
" ";"37 years";26143;9545;13897;16158;6613
" ";"38 years";25288;9514;13716;15703;6534
" ";"39 years";23710;9274;13673;15097;6253
" ";"40 years";23403;8961;13208;14861;6136
" ";"41 years";23080;9256;13186;14788;6124
" ";"42 years";22848;9360;13400;15142;6354
" ";"43 years";23208;9381;13779;15330;6293
" ";"44 years";24299;10022;14463;15638;6613
" ";"45 years";24019;10269;14802;16229;6845
" ";"46 years";23836;10261;14732;16351;6810
" ";"47 years";23657;10739;14901;16427;7113
" ";"48 years";25255;11800;16149;17612;7430
" ";"49 years";26040;12073;16205;17531;7378
" ";"50 years";25462;11991;16215;17297;7185
" ";"51 years";25147;12423;16813;17933;7600
" ";"52 years";25489;12639;17328;18206;7708
" ";"53 years";23917;12270;16280;17381;7336
" ";"54 years";22712;11760;16280;17002;7417
" ";"55 years";23316;12276;16575;17003;7500
" ";"56 years";24567;13148;17427;17948;8159
" ";"57 years";26114;14149;19021;19262;8792
" ";"58 years";25989;13895;18658;18771;8776
" ";"59 years";24743;13257;18041;18322;8466
" ";"60 years";23801;13201;17864;18040;8427
" ";"61 years";22198;12159;17102;16976;7958
" ";"62 years";20990;11706;16322;16482;8167
" ";"63 years";20437;11630;16131;15954;7593
" ";"64 years";19338;11242;15336;15471;7437
" ";"65 years";18580;10990;15275;15343;7515
" ";"66 years";18310;11000;15210;15271;7542
" ";"67 years";17663;10604;15136;15057;7256
" ";"68 years";17056;10501;15106;14733;7141
" ";"69 years";16559;10157;14535;14500;6984
" ";"70 years";16053;10102;14221;14168;6832
" ";"71 years";15930;9932;13946;14233;6801
" ";"72 years";15292;9676;12907;13439;6482
" ";"73 years";15310;9782;12918;13408;6361
" ";"74 years";15225;9657;13096;13094;6483
" ";"75 years";15374;9729;13096;12968;6523
" ";"76 years";16155;10091;13384;13253;6564
" ";"77 years";16806;10481;13454;13421;6485
" ";"78 years";15744;9787;13235;12746;6216
" ";"79 years";14710;8972;11673;11398;5794
" ";"80 years";13154;8144;10506;10137;5196
" ";"81 years";11892;7066;9376;8984;4476
" ";"82 years";9654;5925;8464;7707;3960
" ";"83 years";8536;5118;7155;6778;3449
" ";"84 years";7884;4730;6751;6186;3092
" ";"85 years";7084;4061;5841;5474;2817
" ";"86 years";6091;3619;5317;5106;2485
" ";"87 years";5263;3104;4460;4280;2105
" ";"88 years";4278;2467;3746;3421;1843
" ";"89 years";3552;1982;3096;3007;1487
" ";"90 years";2990;1626;2597;2380;1259
" ";"91 years";2469;1264;2009;1866;977
" ";"92 years";1964;1033;1646;1496;765
" ";"93 years";1481;844;1304;1223;621
" ";"94 years";1177;609;942;909;473
" ";"95 years";922;447;760;724;375
" ";"96 years";672;360;530;521;238
" ";"97 years";508;218;373;377;176
" ";"98 years";345;175;275;272;108
" ";"99 years";234;123;171;173;88
" ";"100 years";165;78;127;129;49
" ";"101 years";99;40;78;72;31
" ";"102 years";59;34;31;31;18
" ";"103 years";25;20;25;17;11
" ";"104 years";24;8;9;9;4
" ";"105 years";8;3;5;6;0
" ";"106 years";8;1;1;2;0
" ";"107 years";0;2;3;0;0
" ";"108 years";1;0;0;1;1
" ";"109 years";1;0;0;1;0
" ";"110 years";0;0;1;1;0
" ";"111 years";0;0;0;0;0
" ";"112 years";0;0;0;0;0
" ";"113 years";0;0;0;0;0
" ";"114 years";0;0;0;0;0
" ";"115 years";0;0;0;0;0
" ";"116 years";0;0;0;0;0
" ";"117 years";0;0;0;0;0
" ";"118 years";0;0;0;0;0
" ";"119 years";0;0;0;0;0
" ";"120 years";0;0;0;0;0
" ";"121 years";0;0;0;0;0
" ";"122 years";0;0;0;0;0
" ";"123 years";0;0;0;0;0
" ";"124 years";0;0;0;0;0
" ";"125 years";0;0;0;0;0

