strain	date	predicted_date	variant
sequence_abex	2021.22465753425	2021.22739726027	Alpha
sequence_abfo	2021.93150684932	2021.93698630137	Omicron
sequence_abhn	2021.01095890411	2021.01369863014	Alpha
sequence_abif	2021.87397260274	2021.87671232877	Delta
sequence_abiu	2021.97260273973	2021.97534246575	Delta
sequence_abjr	2021.39178082192	2021.39726027397	Delta
sequence_abkd	2021.95068493151	2021.95342465753	Omicron
sequence_abnq	2021.09589041096	2021.10136986301	Delta
sequence_aboq	2021.64109589041	2021.64657534247	Delta
sequence_abos	2021.3397260274	2021.34246575342	Delta
sequence_aboz	2021.26301369863	2021.26575342466	Delta
sequence_abpj	2021.53424657534	2021.53698630137	Omicron
sequence_abpl	2021.15068493151	2021.15616438356	Alpha
sequence_abpq	2021.02191780822	2021.02739726027	Omicron
sequence_abpt	2021.3698630137	2021.37260273973	Delta
sequence_abpx	2021.88493150685	2021.8904109589	Omicron
sequence_abrp	2021.8	2021.80273972603	Omicron
sequence_absq	2021.56438356164	2021.56712328767	Alpha
sequence_absy	2021.26849315068	2021.27123287671	Omicron
sequence_abtv	2021.33424657534	2021.33698630137	Omicron
sequence_abuq	2021.8904109589	2021.89315068493	Delta
sequence_abwo	2021.73150684932	2021.73698630137	Omicron
sequence_abwv	2021.91780821918	2021.92054794521	Omicron
sequence_abxf	2021.8301369863	2021.83287671233	Alpha
sequence_abxg	2021.35342465753	2021.35616438356	Delta
sequence_abzh	2021.66301369863	2021.66849315068	Delta
sequence_acbt	2021.87397260274	2021.87945205479	Alpha
sequence_acew	2021.96712328767	2021.97260273973	Alpha
sequence_acgq	2021.55890410959	2021.56164383562	Delta
sequence_acgx	2021.10136986301	2021.10684931507	Alpha
sequence_ache	2021.34520547945	2021.34794520548	Omicron
sequence_acir	2021.85479452055	2021.8602739726	Delta
sequence_acjl	2021.77534246575	2021.78082191781	Delta
sequence_acmk	2021.92054794521	2021.92328767123	Alpha
sequence_acpf	2021.92328767123	2021.92876712329	Delta
sequence_acrh	2021.61643835616	2021.61917808219	Alpha
sequence_acsl	2021.58630136986	2021.59178082192	Delta
sequence_acsn	2021.57808219178	2021.58082191781	Delta
sequence_acxe	2021.42465753425	2021.42739726027	Delta
sequence_acxv	2021.39452054795	2021.4	Delta
sequence_acyg	2021.98082191781	2021.98356164384	Delta
sequence_acyo	2021.57534246575	2021.58082191781	Delta
sequence_acze	2021.8	2021.80273972603	Alpha
sequence_adbk	2021.22191780822	2021.22739726027	Alpha
sequence_ades	2021.67945205479	2021.68493150685	Omicron
sequence_adhb	2021.84109589041	2021.84657534247	Omicron
sequence_adhq	2021.8904109589	2021.89315068493	Delta
sequence_adhx	2021.20273972603	2021.20547945205	Alpha
sequence_adjq	2021.9397260274	2021.94246575342	Omicron
sequence_adjr	2021.96712328767	2021.97260273973	Alpha
sequence_adkf	2021.8602739726	2021.86301369863	Alpha
sequence_adko	2021.78082191781	2021.78356164384	Alpha
sequence_adkq	2021.99452054795	2022	Omicron
sequence_adli	2021.96438356164	2021.9698630137	Delta
sequence_adlp	2021.97534246575	2021.97808219178	Omicron
sequence_adme	2021.00547945205	2021.00821917808	Delta
sequence_adnq	2021.93150684932	2021.93698630137	Delta
sequence_adnw	2021.23561643836	2021.24109589041	Delta
sequence_ador	2021.23835616438	2021.24109589041	Alpha
sequence_adpl	2021.26575342466	2021.26849315068	Alpha
sequence_adqz	2021.87123287671	2021.87397260274	Omicron
sequence_adrg	2021.22465753425	2021.2301369863	Alpha
sequence_adsh	2021.83835616438	2021.84109589041	Omicron
sequence_adth	2021.32328767123	2021.32602739726	Alpha
sequence_aduq	2021.20821917808	2021.21369863014	Omicron
sequence_adus	2021.75068493151	2021.75342465753	Alpha
sequence_advb	2021.92328767123	2021.92876712329	Omicron
sequence_advu	2021.30684931507	2021.3095890411	Alpha
sequence_adwq	2021.40547945205	2021.40821917808	Alpha
sequence_adwu	2021.41095890411	2021.41643835616	Delta
sequence_adyz	2021.40547945205	2021.41095890411	Omicron
sequence_adzf	2021.23561643836	2021.24109589041	Omicron
sequence_aehd	2021.61643835616	2021.61917808219	Delta
sequence_aekf	2021.41369863014	2021.41643835616	Delta
sequence_aeki	2021.92054794521	2021.92328767123	Alpha
sequence_aekr	2021.54520547945	2021.54794520548	Omicron
sequence_aelq	2021.88767123288	2021.89315068493	Omicron
sequence_aemo	2021.86575342466	2021.86849315069	Delta
sequence_aenx	2021.45205479452	2021.45753424658	Omicron
sequence_aeqk	2021.07397260274	2021.07671232877	Delta
sequence_aerb	2021.3698630137	2021.37534246575	Delta
sequence_aert	2021.97260273973	2021.97808219178	Omicron
sequence_aerw	2021.95068493151	2021.95342465753	Omicron
sequence_aesl	2021.84931506849	2021.85205479452	Delta
sequence_aetu	2021.75616438356	2021.76164383562	Alpha
sequence_aetz	2021.7397260274	2021.74246575342	Omicron
sequence_aeuw	2021.37808219178	2021.38356164384	Omicron
sequence_aevh	2021.64383561644	2021.64931506849	Delta
sequence_aevp	2021.67123287671	2021.67671232877	Omicron
sequence_aevz	2021.57808219178	2021.58082191781	Omicron
sequence_aewu	2021.0301369863	2021.03561643836	Alpha
sequence_afbk	2021.33150684932	2021.33424657534	Omicron
sequence_afbo	2021.66301369863	2021.66849315068	Alpha
sequence_afcm	2021.90410958904	2021.90684931507	Delta
sequence_afde	2021.21643835616	2021.22191780822	Delta
sequence_afdh	2021.62739726027	2021.63287671233	Omicron
